Date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
17:00:00 10-11-2023,3,1228.33,7.93,54.15,3.8,49.59,26.55,35.02,9.12
18:00:00 10-11-2023,3,1922.61,28.39,53.47,0.02,56.27,40.51,52.05,12.03
19:00:00 10-11-2023,4,2376.56,42.92,51.41,0.0,59.6,56.22,71.82,13.81
20:00:00 10-11-2023,4,2723.69,51.86,49.35,0.0,64.85,74.71,95.16,15.33
21:00:00 10-11-2023,5,3070.83,65.27,46.61,0.0,73.43,99.55,124.55,17.73
22:00:00 10-11-2023,5,3391.27,84.94,44.55,0.0,86.78,126.89,154.01,20.77
23:00:00 10-11-2023,5,3284.45,92.98,45.93,0.0,86.78,136.78,161.55,20.27
00:00:00 11-11-2023,5,3177.64,100.14,49.35,0.0,83.92,138.7,159.48,16.97
01:00:00 11-11-2023,5,3150.94,105.5,54.15,0.0,79.15,143.52,160.98,14.31
02:00:00 11-11-2023,5,2937.32,92.09,56.89,0.0,61.04,138.93,154.95,12.41
03:00:00 11-11-2023,5,2403.26,65.27,54.15,0.0,43.39,117.43,131.35,10.13
04:00:00 11-11-2023,5,1789.09,41.57,46.61,0.0,33.38,85.54,96.68,8.36
05:00:00 11-11-2023,4,1214.98,25.48,36.67,0.0,29.56,54.63,63.18,7.28
06:00:00 11-11-2023,3,988.01,20.34,28.1,0.01,29.33,40.38,48.6,7.73
07:00:00 11-11-2023,3,1068.12,23.47,23.99,1.16,34.33,39.57,49.78,9.88
08:00:00 11-11-2023,3,1361.85,29.95,27.08,6.62,43.39,43.89,56.24,11.4
09:00:00 11-11-2023,3,1548.77,26.82,40.1,20.92,50.07,47.83,61.52,11.91
10:00:00 11-11-2023,4,1415.25,14.53,48.67,64.37,53.88,52.57,66.69,11.78
11:00:00 11-11-2023,3,620.84,3.63,19.36,101.57,29.09,27.01,32.7,5.0
12:00:00 11-11-2023,3,473.98,2.35,12.85,104.43,23.13,22.09,25.8,3.8
13:00:00 11-11-2023,2,440.6,2.49,12.0,92.98,20.98,17.76,20.8,3.55
14:00:00 11-11-2023,2,420.57,2.93,12.51,80.11,20.03,13.57,16.26,3.58
15:00:00 11-11-2023,2,427.25,3.41,14.57,69.38,20.98,11.16,13.89,3.77
16:00:00 11-11-2023,2,433.92,3.38,16.45,55.79,20.74,9.02,11.89,3.83
17:00:00 11-11-2023,2,794.41,5.09,33.24,28.25,30.04,14.55,19.96,7.28
18:00:00 11-11-2023,3,1428.6,10.95,50.04,1.61,40.05,26.82,36.94,11.78
19:00:00 11-11-2023,3,1869.2,24.59,45.24,0.01,44.35,40.78,55.97,13.93
20:00:00 11-11-2023,4,2002.72,29.06,42.5,0.0,44.35,50.86,70.54,14.19
21:00:00 11-11-2023,4,1789.09,25.48,39.76,0.0,41.48,51.25,72.99,12.79
22:00:00 11-11-2023,3,1548.77,21.9,37.36,0.01,40.53,48.27,70.29,11.53
23:00:00 11-11-2023,3,1468.66,21.68,35.3,0.01,39.58,47.67,69.38,10.39
00:00:00 12-11-2023,3,1495.36,24.14,34.27,0.0,35.29,47.82,69.85,8.99
01:00:00 12-11-2023,3,1455.31,24.59,32.9,0.0,31.47,47.07,69.96,8.99
02:00:00 12-11-2023,4,1468.66,26.38,31.53,0.0,29.09,52.49,76.96,9.75
03:00:00 12-11-2023,4,1575.47,29.95,30.5,0.0,27.66,63.07,86.43,10.01
04:00:00 12-11-2023,4,1655.58,32.19,27.42,0.0,25.03,70.46,89.61,9.63
05:00:00 12-11-2023,4,1588.82,29.95,22.28,0.0,21.93,67.2,80.79,8.87
06:00:00 12-11-2023,4,1522.06,27.27,18.34,0.0,21.7,62.25,73.25,9.37
07:00:00 12-11-2023,4,1668.93,29.06,16.28,1.05,24.8,64.91,77.3,12.03
08:00:00 12-11-2023,4,1815.8,30.4,27.08,9.83,36.72,66.19,81.07,13.17
09:00:00 12-11-2023,5,1949.31,21.68,47.98,40.77,47.68,75.64,92.48,14.19
10:00:00 12-11-2023,5,1922.61,10.62,57.58,117.3,56.27,98.97,116.73,14.82
11:00:00 12-11-2023,3,714.3,3.63,22.96,114.44,32.42,36.93,42.77,5.76
12:00:00 12-11-2023,3,574.11,2.21,21.42,108.72,32.42,31.83,36.0,4.75
13:00:00 12-11-2023,3,600.81,1.09,27.76,101.57,36.24,32.72,37.45,5.0
14:00:00 12-11-2023,3,600.81,0.25,33.24,76.53,36.24,26.12,30.88,4.88
15:00:00 12-11-2023,2,567.44,0.4,34.27,50.78,33.86,17.73,21.58,4.5
16:00:00 12-11-2023,2,534.06,0.68,32.22,34.33,30.52,11.97,15.1,4.12
17:00:00 12-11-2023,2,1255.04,7.6,47.3,8.14,39.1,24.94,31.76,9.12
18:00:00 12-11-2023,4,2643.59,39.34,52.09,0.03,52.93,58.01,72.21,14.57
19:00:00 12-11-2023,5,3631.59,67.06,53.47,0.0,61.04,97.61,119.6,18.24
20:00:00 12-11-2023,5,4219.06,79.57,54.84,0.0,61.04,137.28,168.12,22.04
21:00:00 12-11-2023,5,4432.68,83.15,54.15,0.0,58.17,167.58,206.81,25.84
22:00:00 12-11-2023,5,4272.46,75.1,51.41,0.0,53.41,177.05,218.16,30.4
23:00:00 12-11-2023,5,3791.81,62.58,47.3,0.0,45.78,163.34,197.93,31.16
00:00:00 13-11-2023,5,3177.64,51.41,42.5,0.0,35.76,134.92,160.19,22.55
01:00:00 13-11-2023,5,2777.1,46.94,37.7,0.0,33.86,117.54,137.22,17.48
02:00:00 13-11-2023,5,2403.26,41.13,31.87,0.0,31.95,100.34,116.28,15.07
03:00:00 13-11-2023,5,2109.53,39.79,26.73,0.0,31.95,89.39,103.34,14.31
04:00:00 13-11-2023,5,1949.31,42.02,22.96,0.0,34.33,83.95,97.31,14.06
05:00:00 13-11-2023,5,1789.09,43.81,20.05,0.0,36.24,77.69,90.81,13.81
06:00:00 13-11-2023,4,1695.63,45.15,17.82,0.0,39.1,72.77,86.82,13.81
07:00:00 13-11-2023,5,1949.31,52.75,17.65,0.09,48.16,81.22,100.39,16.97
08:00:00 13-11-2023,5,2189.64,67.06,28.1,1.29,75.34,85.13,107.1,17.48
09:00:00 13-11-2023,5,2616.88,81.36,45.24,3.4,102.04,100.58,127.22,20.01
10:00:00 13-11-2023,5,2777.1,79.57,78.83,7.87,135.42,114.13,143.83,22.29
11:00:00 13-11-2023,4,1201.63,16.76,65.8,45.78,82.02,51.29,64.13,9.88
12:00:00 13-11-2023,3,827.79,5.2,42.16,97.27,56.27,39.39,48.59,7.22
13:00:00 13-11-2023,3,707.63,3.21,29.47,134.47,47.21,41.05,49.26,6.4
14:00:00 13-11-2023,3,654.22,2.82,27.76,127.32,43.87,36.11,42.8,6.14
15:00:00 13-11-2023,3,654.22,2.37,33.24,97.27,44.35,28.58,34.21,6.27
16:00:00 13-11-2023,2,660.9,1.12,38.39,68.66,43.87,22.0,26.97,6.21
17:00:00 13-11-2023,3,1695.63,4.97,69.92,16.99,51.5,41.7,52.74,14.31
18:00:00 13-11-2023,5,3578.19,43.36,78.83,0.01,64.85,91.37,114.28,23.81
19:00:00 13-11-2023,5,4699.71,71.53,74.71,0.0,66.76,143.15,177.24,28.63
20:00:00 13-11-2023,5,5340.58,87.62,71.97,0.0,69.62,195.69,239.1,32.93
21:00:00 13-11-2023,5,5607.6,95.67,67.86,0.0,69.62,229.16,277.23,31.92
22:00:00 13-11-2023,5,5340.58,92.09,61.01,0.0,64.85,229.08,277.6,29.39
23:00:00 13-11-2023,5,4539.49,78.68,53.47,0.0,54.36,195.75,239.61,24.07
00:00:00 14-11-2023,5,3471.37,59.01,47.98,0.0,41.01,146.56,180.17,16.47
01:00:00 14-11-2023,5,2563.48,38.89,44.55,0.0,31.47,112.62,136.69,12.54
02:00:00 14-11-2023,5,2002.72,18.33,43.87,0.04,23.37,98.4,115.02,10.77
03:00:00 14-11-2023,5,1789.09,8.94,42.16,0.26,20.74,99.39,111.0,10.13
04:00:00 14-11-2023,5,1642.23,6.82,38.73,0.44,21.93,102.25,111.54,9.75
05:00:00 14-11-2023,5,1548.77,7.71,38.04,0.3,26.7,105.14,113.51,9.37
06:00:00 14-11-2023,5,1575.47,11.18,35.99,0.11,31.47,110.1,118.96,9.88
07:00:00 14-11-2023,5,1789.09,19.22,33.59,0.88,39.58,118.85,130.62,12.41
08:00:00 14-11-2023,5,2082.82,36.21,38.04,3.49,61.04,122.06,136.5,14.82
09:00:00 14-11-2023,5,2616.88,66.16,55.52,3.76,103.95,142.64,161.15,18.75
10:00:00 14-11-2023,5,3257.75,101.92,87.05,2.73,162.12,181.74,204.68,23.05
11:00:00 14-11-2023,5,1842.5,32.63,91.85,7.42,100.14,98.65,111.55,11.4
12:00:00 14-11-2023,4,1188.28,3.97,74.03,24.68,61.04,58.93,67.85,7.16
13:00:00 14-11-2023,3,867.84,0.39,48.67,44.7,45.78,36.13,42.53,6.14
14:00:00 14-11-2023,3,1014.71,1.61,60.32,18.95,63.9,31.87,38.84,9.5
15:00:00 14-11-2023,3,1548.77,21.9,65.12,1.1,89.65,44.32,54.35,13.93
16:00:00 14-11-2023,4,1976.01,46.94,61.01,0.8,99.18,56.2,68.79,15.07
17:00:00 14-11-2023,4,2696.99,64.37,65.12,1.15,91.55,73.63,91.81,16.72
18:00:00 14-11-2023,5,3845.21,86.72,69.92,0.02,85.83,105.65,132.91,19.0
19:00:00 14-11-2023,5,4432.68,96.56,67.86,0.0,76.29,138.76,175.11,20.77
20:00:00 14-11-2023,5,4859.92,97.45,62.38,0.0,67.71,173.16,219.76,23.81
21:00:00 14-11-2023,5,5287.17,100.14,54.15,0.0,61.04,205.76,261.68,26.35
22:00:00 14-11-2023,5,5233.76,94.77,45.24,0.0,55.79,217.19,274.97,28.37
23:00:00 14-11-2023,5,4753.11,82.25,37.7,0.0,46.73,194.87,240.54,25.33
00:00:00 15-11-2023,5,3791.81,65.27,31.87,0.0,33.86,144.61,174.44,16.47
01:00:00 15-11-2023,5,2910.61,49.17,27.76,0.0,26.94,103.11,121.77,12.03
02:00:00 15-11-2023,4,1842.5,26.82,25.02,0.0,21.22,61.25,71.99,9.5
03:00:00 15-11-2023,4,1482.01,21.01,22.96,0.0,21.22,51.03,60.26,10.13
04:00:00 15-11-2023,4,1441.96,23.02,22.28,0.0,24.8,53.85,63.43,11.78
05:00:00 15-11-2023,4,1522.06,29.95,21.93,0.0,30.52,61.42,71.81,13.05
06:00:00 15-11-2023,4,1575.47,34.42,20.56,0.0,33.86,65.32,76.65,13.3
07:00:00 15-11-2023,4,1735.69,38.89,19.54,0.6,39.58,69.7,83.58,15.33
08:00:00 15-11-2023,4,1976.01,49.62,25.7,3.08,57.7,74.08,90.18,16.47
09:00:00 15-11-2023,5,2590.18,72.42,43.53,3.71,90.6,99.8,120.56,19.76
10:00:00 15-11-2023,5,3177.64,105.5,65.8,1.65,135.42,131.96,156.68,23.56
11:00:00 15-11-2023,4,1668.93,40.23,74.03,0.02,100.14,68.42,80.22,10.13
12:00:00 15-11-2023,3,1094.82,9.16,67.17,0.93,65.8,40.84,47.67,5.76
13:00:00 15-11-2023,2,767.71,1.06,47.3,14.31,44.82,22.59,26.79,4.5
14:00:00 15-11-2023,2,700.95,1.2,42.5,19.13,46.73,16.68,20.47,5.07
15:00:00 15-11-2023,2,854.49,4.3,51.41,6.71,60.08,20.61,25.44,6.52
16:00:00 15-11-2023,2,1001.36,10.51,53.47,1.04,67.71,24.4,30.22,7.41
17:00:00 15-11-2023,3,1575.47,28.61,52.78,0.02,73.43,37.44,46.53,10.39
18:00:00 15-11-2023,4,2510.07,51.86,56.89,0.0,75.34,60.64,75.43,13.05
19:00:00 15-11-2023,5,3017.43,62.58,58.26,0.0,69.62,81.96,101.98,13.93
20:00:00 15-11-2023,5,3124.24,61.69,54.15,0.0,58.17,94.88,120.96,15.58
21:00:00 15-11-2023,5,2990.72,57.22,45.93,0.0,50.54,98.7,129.44,16.47
22:00:00 15-11-2023,5,2777.1,51.41,37.7,0.0,43.87,95.96,127.17,16.72
23:00:00 15-11-2023,5,2456.67,44.26,31.87,0.0,36.72,84.8,110.42,15.33
00:00:00 16-11-2023,4,2082.82,37.55,28.45,0.0,30.04,67.09,85.96,12.03
01:00:00 16-11-2023,4,1789.09,33.08,26.05,0.0,27.42,56.34,70.67,10.39
02:00:00 16-11-2023,3,1535.42,26.82,23.99,0.0,23.84,48.91,60.22,10.13
03:00:00 16-11-2023,3,1401.9,23.47,21.93,0.0,22.65,46.75,56.78,10.89
04:00:00 16-11-2023,3,1375.2,23.92,20.73,0.0,24.08,48.53,58.33,11.91
05:00:00 16-11-2023,4,1388.55,27.27,19.71,0.0,27.42,51.85,62.12,12.54
06:00:00 16-11-2023,4,1428.6,29.95,18.85,0.0,29.8,53.83,65.14,12.79
07:00:00 16-11-2023,4,1708.98,34.42,18.85,0.28,34.81,62.77,77.58,15.45
08:00:00 16-11-2023,5,2296.45,51.86,22.62,0.67,50.54,78.33,98.62,17.99
09:00:00 16-11-2023,5,3124.24,84.94,30.5,0.97,82.02,107.1,134.14,21.79
10:00:00 16-11-2023,5,3631.59,125.17,45.24,1.32,133.51,135.99,166.3,25.33
11:00:00 16-11-2023,4,1655.58,46.94,66.49,3.22,102.04,61.82,74.22,11.15
12:00:00 16-11-2023,3,1241.68,21.01,71.29,5.36,77.25,44.97,54.69,8.11
13:00:00 16-11-2023,3,1028.06,12.41,58.95,11.98,61.04,33.42,43.26,7.28
14:00:00 16-11-2023,3,947.95,8.38,52.78,18.95,59.13,26.52,36.95,8.04
15:00:00 16-11-2023,3,1001.36,6.98,56.89,18.42,65.8,26.99,38.24,9.25
16:00:00 16-11-2023,3,1028.06,5.03,57.58,19.49,60.56,27.26,38.03,9.37
17:00:00 16-11-2023,3,1976.01,15.87,68.55,7.06,56.74,47.07,62.48,13.93
18:00:00 16-11-2023,5,3631.59,50.51,74.03,0.06,63.9,87.58,112.77,20.27
19:00:00 16-11-2023,5,5020.14,87.62,71.97,0.0,76.29,141.45,177.81,26.09
20:00:00 16-11-2023,5,6408.69,125.17,69.92,0.0,90.6,215.61,262.68,31.66
21:00:00 16-11-2023,5,7797.24,162.72,67.86,0.0,100.14,301.15,357.54,36.48
22:00:00 16-11-2023,5,8544.92,184.18,65.12,0.0,103.0,371.22,435.52,46.1
23:00:00 16-11-2023,5,8438.11,178.81,62.38,0.0,92.51,382.37,447.6,49.65
00:00:00 17-11-2023,5,7583.62,162.72,58.26,0.0,68.66,348.88,403.4,33.94
01:00:00 17-11-2023,5,6515.5,143.05,56.21,0.0,54.84,310.69,348.45,21.03
02:00:00 17-11-2023,5,5126.95,114.44,55.52,0.0,44.35,266.78,291.96,15.45
03:00:00 17-11-2023,5,4379.27,97.45,46.61,0.0,41.48,240.11,260.41,19.25
04:00:00 17-11-2023,5,4112.24,90.3,39.07,0.0,46.73,226.47,244.91,27.87
05:00:00 17-11-2023,5,4165.65,93.88,34.27,0.0,56.74,224.17,242.84,35.97
06:00:00 17-11-2023,5,4325.87,101.92,28.79,0.0,56.74,222.63,243.87,32.42
07:00:00 17-11-2023,5,4859.92,116.23,26.73,0.12,61.04,234.24,262.48,28.88
08:00:00 17-11-2023,5,4272.46,114.44,35.64,1.04,77.25,186.97,216.16,20.01
09:00:00 17-11-2023,5,3952.03,112.65,45.93,2.73,90.6,162.37,192.73,19.0
10:00:00 17-11-2023,5,3471.37,93.88,64.43,7.15,103.0,141.15,171.51,20.27
11:00:00 17-11-2023,4,1375.2,21.9,61.69,18.6,69.62,51.57,64.48,9.5
12:00:00 17-11-2023,3,961.3,11.85,46.61,44.7,56.74,32.6,41.44,7.66
13:00:00 17-11-2023,3,894.55,9.16,41.47,80.82,55.31,34.49,42.64,7.41
14:00:00 17-11-2023,4,1054.76,8.94,55.52,107.29,71.53,52.97,62.75,9.88
15:00:00 17-11-2023,5,1415.25,10.51,85.68,95.84,100.14,84.36,97.04,12.03
16:00:00 17-11-2023,5,1762.39,9.61,111.04,65.09,116.35,103.46,117.77,12.54
17:00:00 17-11-2023,5,2750.4,12.41,131.61,17.52,112.53,129.2,148.15,15.45
18:00:00 17-11-2023,5,4112.24,39.79,127.49,0.09,97.27,167.6,194.7,17.99
19:00:00 17-11-2023,5,4592.9,57.22,112.41,0.0,75.34,194.28,228.37,19.0
20:00:00 17-11-2023,5,4646.3,60.8,97.33,0.0,61.99,206.73,247.34,19.25
21:00:00 17-11-2023,5,4112.24,51.41,73.34,0.0,49.59,173.66,213.39,17.48
22:00:00 17-11-2023,5,2777.1,25.26,53.47,0.07,36.24,107.34,134.84,16.09
23:00:00 17-11-2023,3,1028.06,0.27,35.99,21.1,24.08,30.54,39.33,8.61
00:00:00 18-11-2023,2,720.98,0.01,26.05,32.19,19.79,15.35,20.42,6.46
01:00:00 18-11-2023,2,607.49,0.0,19.36,38.62,15.14,11.31,15.26,5.57
02:00:00 18-11-2023,2,547.41,0.0,16.11,42.56,12.87,10.27,13.92,5.32
03:00:00 18-11-2023,2,527.38,0.0,15.77,45.06,12.99,10.6,14.2,5.26
04:00:00 18-11-2023,2,514.03,0.0,16.28,46.49,13.59,11.11,14.69,5.13
05:00:00 18-11-2023,2,500.68,0.0,16.79,47.92,14.19,11.52,15.13,4.94
06:00:00 18-11-2023,2,507.35,0.0,17.99,46.49,15.14,12.27,16.14,4.94
07:00:00 18-11-2023,2,574.11,0.94,19.54,45.78,16.69,14.86,19.8,5.57
08:00:00 18-11-2023,2,654.22,3.86,18.34,52.93,18.6,17.64,23.37,5.83
09:00:00 18-11-2023,2,667.57,4.97,17.82,66.52,20.5,20.86,27.06,5.89
10:00:00 18-11-2023,3,627.52,4.19,16.96,88.69,21.93,25.58,31.97,5.76
11:00:00 18-11-2023,3,567.44,3.05,14.91,113.01,21.22,29.45,35.48,5.13
12:00:00 18-11-2023,3,540.73,2.51,14.05,130.18,21.7,31.86,37.64,4.75
13:00:00 18-11-2023,3,534.06,2.12,13.37,138.76,21.93,32.95,38.77,4.62
14:00:00 18-11-2023,3,514.03,1.55,14.05,125.89,19.55,28.59,34.34,4.37
15:00:00 18-11-2023,3,500.68,1.34,16.11,101.57,18.12,23.05,28.96,4.37
16:00:00 18-11-2023,2,507.35,0.82,17.48,87.26,16.93,21.39,27.85,4.37
17:00:00 18-11-2023,3,794.41,0.41,30.16,60.8,21.46,27.18,36.38,7.66
18:00:00 18-11-2023,3,1188.28,0.03,42.16,31.47,23.37,36.31,49.33,12.67
19:00:00 18-11-2023,3,1335.14,0.14,42.84,19.13,21.93,43.13,59.09,15.83
20:00:00 18-11-2023,4,1388.55,0.42,42.5,13.05,22.41,50.08,68.9,16.97
21:00:00 18-11-2023,4,1361.85,0.8,41.81,8.76,23.13,53.69,74.95,16.47
22:00:00 18-11-2023,4,1228.33,0.85,39.41,8.49,23.37,51.96,72.7,14.57
23:00:00 18-11-2023,3,921.25,0.12,33.59,19.67,22.17,40.72,56.69,10.77
00:00:00 19-11-2023,3,720.98,0.03,28.79,27.18,19.31,32.16,44.7,8.99
01:00:00 19-11-2023,3,600.81,0.01,25.36,31.83,17.4,27.3,37.96,8.61
02:00:00 19-11-2023,2,527.38,0.01,22.28,33.97,15.14,24.54,34.45,8.49
03:00:00 19-11-2023,2,507.35,0.01,21.42,33.62,14.78,23.79,33.82,8.36
04:00:00 19-11-2023,2,500.68,0.02,22.28,31.83,15.5,24.35,34.96,8.23
05:00:00 19-11-2023,3,507.35,0.03,23.99,29.68,17.17,25.49,36.98,7.98
06:00:00 19-11-2023,3,534.06,0.06,26.73,26.11,19.31,26.55,39.18,7.98
07:00:00 19-11-2023,3,680.92,1.84,30.5,20.74,23.13,30.58,45.21,9.25
08:00:00 19-11-2023,3,934.6,9.28,31.53,22.35,30.52,35.49,51.84,10.64
09:00:00 19-11-2023,3,1041.41,14.08,31.87,30.76,36.72,37.76,54.75,11.4
10:00:00 19-11-2023,3,961.3,12.52,33.93,52.93,41.96,39.66,56.52,11.27
11:00:00 19-11-2023,3,700.95,6.31,27.08,95.84,35.76,37.27,51.33,7.79
12:00:00 19-11-2023,3,620.84,3.91,22.62,131.61,32.9,43.96,57.8,6.84
13:00:00 19-11-2023,4,600.81,2.82,19.88,151.63,30.52,48.9,62.82,6.27
14:00:00 19-11-2023,4,547.41,2.15,16.96,141.62,24.32,39.75,51.45,5.45
15:00:00 19-11-2023,3,574.11,2.18,21.59,115.87,25.75,32.92,43.79,6.08
16:00:00 19-11-2023,3,647.54,1.72,29.82,90.84,30.28,30.45,41.51,7.09
17:00:00 19-11-2023,4,1682.28,2.43,65.12,35.05,41.48,51.53,68.85,16.47
18:00:00 19-11-2023,5,3391.27,26.6,84.31,0.35,55.31,95.43,123.45,29.64
19:00:00 19-11-2023,5,4646.3,58.11,79.51,0.0,63.9,146.56,185.32,42.05
20:00:00 19-11-2023,5,5661.01,77.78,83.63,0.0,72.48,208.11,259.93,52.18
21:00:00 19-11-2023,5,6141.66,88.51,81.57,0.0,75.34,256.57,319.6,56.24
22:00:00 19-11-2023,5,6034.85,87.62,74.71,0.0,75.34,272.1,341.45,63.84
23:00:00 19-11-2023,5,5287.17,75.1,63.75,0.0,62.94,242.08,305.62,57.25
00:00:00 20-11-2023,5,3952.03,55.88,49.35,0.0,38.15,174.05,220.56,29.13
01:00:00 20-11-2023,5,2536.77,35.32,39.07,0.0,26.7,108.53,137.99,15.33
02:00:00 20-11-2023,4,1214.98,11.73,32.9,0.37,19.55,51.31,65.9,10.13
03:00:00 20-11-2023,3,747.68,3.69,29.13,2.17,17.64,31.38,40.52,8.99
04:00:00 20-11-2023,3,634.19,2.43,27.76,3.44,18.6,26.01,33.65,8.87
05:00:00 20-11-2023,2,614.17,4.02,28.79,1.94,23.13,24.61,31.85,8.61
06:00:00 20-11-2023,3,647.54,6.82,27.76,0.8,25.75,25.18,32.83,8.87
07:00:00 20-11-2023,3,854.49,13.08,25.02,2.84,29.56,30.79,40.84,10.89
08:00:00 20-11-2023,3,1188.28,23.92,23.99,9.92,37.67,37.68,50.94,13.05
09:00:00 20-11-2023,3,1308.44,25.7,28.79,20.03,42.92,39.78,54.75,14.19
10:00:00 20-11-2023,3,1148.22,17.88,34.62,45.06,44.82,39.47,54.04,13.55
11:00:00 20-11-2023,3,727.65,4.69,32.56,67.23,35.29,29.49,39.41,8.49
12:00:00 20-11-2023,3,667.57,3.49,34.62,63.66,37.19,27.07,36.23,8.11
13:00:00 20-11-2023,3,714.3,3.8,40.44,61.51,43.87,28.25,38.0,8.74
14:00:00 20-11-2023,2,654.22,2.01,36.33,60.08,37.19,23.81,32.07,7.16
15:00:00 20-11-2023,2,634.19,1.09,36.33,52.93,34.81,19.84,27.05,6.65
16:00:00 20-11-2023,2,660.9,0.66,38.73,45.78,35.76,18.63,25.73,6.97
17:00:00 20-11-2023,3,1789.09,9.5,63.75,10.01,46.73,41.53,56.22,17.23
18:00:00 20-11-2023,5,3631.59,50.96,63.06,0.02,59.13,86.34,114.94,30.4
19:00:00 20-11-2023,5,4913.33,82.25,57.58,0.0,64.85,135.42,177.39,36.48
20:00:00 20-11-2023,5,6141.66,108.18,57.58,0.0,73.43,201.35,258.26,38.5
21:00:00 20-11-2023,5,7263.18,132.32,58.95,0.0,81.06,272.94,341.03,36.98
22:00:00 20-11-2023,5,7797.24,144.84,61.01,0.0,82.02,326.51,402.9,33.94
23:00:00 20-11-2023,5,7476.81,135.9,63.75,0.0,70.57,336.57,418.42,27.11
00:00:00 21-11-2023,5,6942.75,125.17,61.01,0.0,54.36,318.84,398.78,19.76
01:00:00 21-11-2023,5,6088.26,107.29,54.84,0.0,41.01,280.4,351.0,16.21
02:00:00 21-11-2023,5,4539.49,73.31,45.24,0.0,28.37,203.76,256.98,14.44
03:00:00 21-11-2023,5,3150.94,46.94,35.99,0.0,23.84,135.25,171.86,12.79
04:00:00 21-11-2023,5,2189.64,33.97,30.16,0.0,23.6,91.94,117.2,11.65
05:00:00 21-11-2023,4,1441.96,25.48,27.08,0.0,25.75,59.58,76.56,10.89
06:00:00 21-11-2023,3,1201.63,25.48,24.68,0.0,29.09,48.96,63.9,11.78
07:00:00 21-11-2023,4,1548.77,33.53,24.33,0.09,36.72,58.69,77.52,16.21
08:00:00 21-11-2023,5,2429.96,55.43,26.05,0.4,50.54,82.02,108.52,21.53
09:00:00 21-11-2023,5,3124.24,73.31,29.47,0.78,61.04,99.44,132.7,25.59
10:00:00 21-11-2023,5,3311.16,78.68,33.59,1.34,68.66,104.06,140.62,28.37
11:00:00 21-11-2023,4,1148.22,26.6,46.61,5.19,62.94,50.64,64.99,9.75
12:00:00 21-11-2023,3,907.9,12.85,50.72,8.31,53.88,43.23,53.52,7.47
13:00:00 21-11-2023,3,934.6,11.96,53.47,7.24,55.79,42.69,52.11,7.35
14:00:00 21-11-2023,3,847.82,5.59,53.47,13.41,49.11,37.5,45.31,6.84
15:00:00 21-11-2023,3,787.73,1.65,54.15,16.63,45.3,33.72,40.69,6.97
16:00:00 21-11-2023,3,807.76,0.78,54.84,15.74,45.3,33.79,40.73,7.35
17:00:00 21-11-2023,4,1548.77,11.96,71.29,2.24,60.56,51.65,63.42,14.44
18:00:00 21-11-2023,5,2990.72,50.96,81.57,0.01,86.78,94.39,115.36,25.08
19:00:00 21-11-2023,5,4219.06,84.04,93.22,0.0,103.0,149.98,181.38,28.88
20:00:00 21-11-2023,5,4806.52,93.88,101.45,0.0,100.14,198.33,238.59,25.33
21:00:00 21-11-2023,5,4699.71,85.83,91.85,0.0,81.06,216.84,263.23,21.53
22:00:00 21-11-2023,5,4325.87,72.42,75.4,0.0,62.94,215.73,266.36,19.76
23:00:00 21-11-2023,5,3738.4,55.88,59.63,0.0,46.25,190.61,239.86,18.24
00:00:00 22-11-2023,5,3097.53,43.36,48.67,0.0,34.33,157.9,200.15,15.33
01:00:00 22-11-2023,5,2723.69,36.21,42.84,0.0,29.09,139.27,171.28,13.81
02:00:00 22-11-2023,5,2670.29,35.32,38.04,0.0,25.51,138.98,163.5,16.09
03:00:00 22-11-2023,5,2857.21,41.57,33.59,0.0,25.03,153.0,174.4,19.76
04:00:00 22-11-2023,5,3124.24,50.51,30.16,0.0,27.42,169.7,190.11,23.31
05:00:00 22-11-2023,5,3417.97,63.48,27.42,0.0,32.9,187.24,209.02,24.83
06:00:00 22-11-2023,5,3631.59,74.21,24.33,0.0,39.58,196.43,221.03,26.6
07:00:00 22-11-2023,5,4165.65,86.72,22.28,0.13,52.45,212.04,244.82,34.45
08:00:00 22-11-2023,5,5340.58,116.23,25.02,0.4,70.57,240.08,284.56,39.52
09:00:00 22-11-2023,5,6141.66,137.69,34.27,1.34,81.06,258.94,310.03,33.94
10:00:00 22-11-2023,5,5714.42,125.17,61.69,4.47,96.32,246.87,296.4,30.91
11:00:00 22-11-2023,5,1922.61,34.42,84.31,19.13,102.04,99.1,120.23,12.92
12:00:00 22-11-2023,5,1642.23,18.1,97.33,22.89,103.95,89.37,107.56,11.65
13:00:00 22-11-2023,5,1815.8,12.63,115.16,19.31,115.39,99.93,118.63,12.03
14:00:00 22-11-2023,5,1789.09,13.19,109.67,41.13,114.44,101.1,118.87,11.53
15:00:00 22-11-2023,5,1682.28,5.59,122.01,35.05,116.35,100.77,117.85,11.15
16:00:00 22-11-2023,5,1682.28,2.99,128.87,26.82,120.16,103.17,120.21,11.53
17:00:00 22-11-2023,5,2403.26,11.18,148.06,5.99,135.42,127.27,149.3,17.73
18:00:00 22-11-2023,5,3471.37,33.53,150.8,0.06,133.51,165.09,196.18,25.59
19:00:00 22-11-2023,5,3631.59,37.55,124.75,0.0,97.27,171.16,209.79,26.6
20:00:00 22-11-2023,5,3204.35,29.95,86.37,0.0,62.94,148.16,189.05,22.55
